case,axis_perm,center_offset,radius,num_points,inside_count,outside_count,inside_fraction,mean_distance,min_distance,max_distance
radius_scale_0.8,base,"0,0,0",0.8,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
radius_scale_1.0,base,"0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
radius_scale_1.2,base,"0,0,0",1.2,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
center_axis0_-1,base,"-0.1,0.0,0.0",1.0,136151,0,136151,0.0,3.5077677612096783,1.5507012880741111,6.728808273828605
center_axis0_+1,base,"0.1,0.0,0.0",1.0,136151,0,136151,0.0,3.525507594099255,1.4543006907529692,6.85900271544952
center_axis1_-1,base,"0.0,-0.1,0.0",1.0,136151,0,136151,0.0,3.58162338420144,1.5465353360059693,6.869587302123916
center_axis1_+1,base,"0.0,0.1,0.0",1.0,136151,0,136151,0.0,3.450554576235181,1.458730077308401,6.718001885604531
center_axis2_-1,base,"0.0,0.0,-0.1",1.0,136151,0,136151,0.0,3.5770570208446335,1.5770232829084896,6.790122862241681
center_axis2_+1,base,"0.0,0.0,0.1",1.0,136151,0,136151,0.0,3.4552338732054872,1.4257147502652134,6.798309389263704
axis_permutation,"0,1,2","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
axis_permutation,"0,2,1","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
axis_permutation,"1,0,2","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
axis_permutation,"1,2,0","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
axis_permutation,"2,0,1","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
axis_permutation,"2,1,0","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
requested_xyz_axis,"0,1,2","0,0,0",1.0,136151,0,136151,0.0,3.5153271012079372,1.4999441629539532,6.793481398976823
